team_id,team_name,attempts,avoided_tackles,breakaway_yards,first_downs,fumbles,grades_offense,grades_pass_block,grades_run,rec_yards,receptions,routes,scramble_yards,targets,touchdowns,yards,yards_after_contact
80,GEORGIA,403,72,528,117,18,67.1,56.128571428571426,67.41538461538461,2000,178,1336,201,243,24,1939,1106
88,HAWAII,294,76,344,76,6,69.91,61.0,68.38,394,43,217,335,53,7,1455,980
90,HOUSTON,395,109,670,94,19,61.85333333333333,55.160000000000004,62.42666666666666,1508,144,1130,204,202,9,1870,1229
95,ILLINOIS,420,64,800,122,14,72.38,52.2875,69.03999999999999,1607,123,995,221,175,22,2205,1351
98,INDIANA,469,79,689,152,11,72.67333333333333,39.199999999999996,68.09333333333333,1728,134,925,114,180,37,2317,1387
101,IOWA,482,106,1191,131,11,62.51428571428572,45.542857142857144,62.56153846153846,959,95,759,153,131,30,2686,1784
102,IOWA STATE,498,96,751,138,9,68.61,41.166666666666664,69.96000000000001,1493,119,999,283,169,27,2311,1455
105,JAMES MAD,488,105,948,140,14,67.8625,53.325,66.65625,1590,150,1220,228,206,20,2751,1691
104,JVILLE ST,626,148,1452,209,17,66.77333333333334,74.78,66.77333333333334,1228,92,841,186,147,51,3750,2226
106,KANSAS,450,103,800,148,10,70.17333333333333,53.64,67.38666666666667,2311,162,1365,193,258,29,2613,1571
107,KANSAS ST,450,104,1392,138,9,63.64,43.6,66.24666666666667,1897,141,1240,197,224,21,2911,1619
108,KENNESAW,431,53,412,88,15,55.61666666666667,65.45,60.31666666666666,734,85,797,67,153,13,1547,986
109,KENT STATE,343,71,286,64,13,60.93076923076923,63.760000000000005,63.06153846153846,1488,102,870,131,185,3,1271,951
110,KENTUCKY,406,98,502,124,18,65.44615384615385,45.800000000000004,66.8,1224,95,970,178,149,10,2045,1321
123,LA LAFAYET,464,90,869,128,6,72.07000000000001,49.825,66.78,1062,76,647,251,105,25,2487,1567
258,LA MONROE,435,122,835,108,14,67.15,55.142857142857146,68.26428571428572,779,77,508,64,113,17,2238,1621
124,LA TECH,440,82,420,101,18,65.18333333333334,48.75,64.21176470588235,2578,229,1853,82,350,14,1729,1226
118,LIBERTY,519,96,982,176,19,62.59166666666667,51.15714285714286,66.05,503,53,513,368,89,28,3164,1698
