team_id,team_name,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,penalties,pressures_allowed,sacks_allowed
178,NOTRE DAME,64.03103448275863,69.1861111111111,62.05,19,90,51,120,11
176,NWESTERN,59.023529411764706,61.77894736842105,58.98529411764706,20,80,44,115,15
179,OHIO,63.59473684210526,47.4625,60.72631578947368,25,62,50,94,7
180,OHIO STATE,65.7525,60.84444444444444,62.256410256410255,14,80,31,106,12
182,OKLA STATE,62.61818181818182,69.23809523809524,61.06136363636363,6,42,31,53,5
181,OKLAHOMA,58.738297872340425,63.6888888888889,58.545,12,107,43,150,31
184,OLE MISS,65.35,58.42857142857143,59.60833333333333,26,83,57,127,18
185,OREGON,63.61346153846154,63.214285714285715,60.21346153846154,15,69,45,91,7
186,OREGON ST,63.64857142857142,64.57777777777778,60.817142857142855,17,64,36,93,12
187,PENN STATE,64.17659574468085,62.42400000000001,61.410638297872346,14,104,38,128,10
189,PITTSBURGH,59.55476190476191,50.63333333333333,58.22432432432433,31,115,52,176,30
195,PURDUE,62.71315789473684,55.34583333333333,58.95263157894736,17,101,42,136,18
197,RICE,60.00188679245283,53.74761904761905,58.33773584905661,34,75,51,117,8
201,RUTGERS,64.22894736842105,63.11428571428572,63.48421052631579,28,92,18,134,14
214,S ALABAMA,64.72702702702703,65.825,60.37567567567568,18,69,82,92,5
215,S CAROLINA,62.951851851851856,62.1551724137931,58.450943396226414,18,115,56,161,28
209,S DIEGO ST,61.55744680851063,69.70909090909092,60.53333333333333,14,70,78,102,18
210,S JOSE ST,60.15833333333333,51.373684210526314,56.388888888888886,29,94,57,133,10
206,SM HOUSTON,60.765853658536585,53.935,59.390243902439025,12,55,31,88,21
203,SMU,63.20377358490566,62.25555555555556,60.67169811320755,16,80,71,108,12
223,SO MISS,58.21836734693877,58.343333333333334,55.61521739130435,29,75,37,126,22
228,STANFORD,60.09761904761905,63.972,59.31707317073171,14,111,44,150,25
233,SYRACUSE,62.79130434782609,61.08095238095238,60.86521739130435,19,91,50,129,19
234,TCU,61.83636363636364,56.75909090909091,59.065909090909095,18,70,38,98,10
236,TEMPLE,58.89142857142857,50.32380952380952,57.061764705882354,31,101,41,157,25
237,TENNESSEE,61.95178571428572,62.529629629629625,59.24107142857143,8,85,55,113,20
240,TEXAS,65.57272727272726,66.99583333333334,60.38409090909091,18,74,71,105,13
241,TEXAS A&M,64.02564102564102,63.192,59.63157894736842,14,84,54,110,12
243,TEXAS ST,65.99166666666666,66.39473684210526,60.579411764705874,16,60,42,86,10
244,TEXAS TECH,62.42978723404255,69.55,62.304545454545455,26,79,55,119,14
246,TOLEDO,59.83611111111111,56.63157894736842,58.55277777777778,30,104,43,151,17
248,TROY,64.18529411764706,64.63809523809525,59.08529411764706,25,64,33,98,9
249,TULANE,65.04444444444445,66.6086956521739,61.65555555555556,11,55,52,74,8
250,TULSA,61.88823529411765,59.16818181818182,59.56078431372549,24,115,49,157,18
252,UAB,60.51025641025641,61.152,58.710256410256406,27,91,56,140,22
255,UCF,64.34545454545454,67.255,63.02727272727273,12,48,38,81,21
256,UCLA,58.678125,54.65714285714286,58.05625,21,137,44,180,22
257,UCONN,63.77906976744186,60.77241379310345,64.50769230769231,11,72,37,89,6
130,UMASS,60.4,61.54117647058824,58.892307692307696,18,68,44,102,16
259,UNLV,65.31538461538462,69.42727272727272,61.27450980392157,10,56,63,76,10
260,USC,62.08787878787879,44.230000000000004,58.21212121212121,36,95,43,138,7
219,USF,60.61489361702128,57.50769230769231,57.82340425531915,25,113,47,159,21
266,UTAH,62.32564102564102,59.75652173913044,60.93421052631579,25,58,33,99,16
267,UTAH ST,61.278378378378385,61.89090909090908,57.817142857142855,28,54,56,97,15
262,UTEP,58.943902439024384,60.79032258064516,58.512903225806454,19,89,47,124,16
263,UTSA,62.539534883720926,55.5037037037037,58.97380952380953,22,97,56,136,17
