team_id,team_name,batted_passes,forced_fumbles,fumble_recoveries,grades_coverage_defense,grades_defense,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interceptions,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,stops,tackles,tackles_for_loss,total_pressures,touchdowns,yards,yards_after_catch
215,S CAROLINA,7,18,9,62.407500000000006,67.35777777777777,66.17666666666666,66.82619047619048,65.16388888888889,60,154,14,113,29,35,33.766666666666666,230,42.0,0,309,578,46.0,256,10,2660,1241
209,S DIEGO ST,1,4,3,59.800000000000004,61.6125,63.786206896551725,60.3275,58.73823529411764,30,101,7,158,16,35,51.1375,223,38.0,0,320,605,33.0,169,21,2569,979
210,S JOSE ST,5,5,5,62.2375,62.192499999999995,59.25757575757576,63.935135135135134,62.95666666666667,32,135,21,173,30,33,35.542500000000004,269,32.0,0,366,682,63.0,199,16,3028,1284
206,SM HOUSTON,4,9,8,63.403225806451616,63.24411764705883,62.665517241379305,61.166666666666664,60.578787878787885,43,136,16,136,30,23,47.33235294117647,229,31.0,1,312,600,44.0,210,14,2307,1045
203,SMU,12,10,6,64.95263157894736,67.5409090909091,64.384375,67.75348837209303,66.71578947368421,52,214,16,138,35,43,45.74090909090909,276,46.0,2,379,648,57.0,312,24,3151,1602
223,SO MISS,6,3,2,58.48,58.72093023255814,63.478125,59.39069767441861,57.81666666666667,37,94,6,171,24,27,55.17209302325582,210,20.0,0,298,565,42.0,151,24,2604,1390
228,STANFORD,3,10,6,59.266666666666666,61.93939393939394,62.03928571428572,63.215625,62.019999999999996,29,137,9,123,17,27,74.01212121212122,263,27.0,0,254,521,36.0,193,31,3365,1475
233,SYRACUSE,5,7,5,60.7945945945946,62.62826086956522,62.45454545454545,62.840476190476195,62.866666666666674,29,120,11,135,32,36,50.74347826086956,266,32.0,0,288,549,42.0,181,22,2949,1266
234,TCU,7,9,5,66.50294117647059,64.64390243902439,61.53448275862069,64.93684210526315,63.65625,20,125,10,122,29,26,38.665853658536584,231,30.0,0,337,631,38.0,175,14,2418,1189
236,TEMPLE,3,8,4,61.82647058823529,61.72926829268293,62.11290322580645,60.9219512195122,60.597297297297295,31,98,9,125,27,23,47.88780487804878,194,18.0,0,326,582,31.0,147,20,2315,1058
237,TENNESSEE,12,11,9,63.882926829268285,67.2156862745098,64.025,68.02549019607844,67.65217391304348,44,163,12,118,25,52,37.98627450980392,224,33.0,2,347,579,74.0,240,11,2445,1128
240,TEXAS,16,18,9,66.83333333333333,66.57659574468084,65.53333333333333,65.16444444444444,62.785714285714285,52,175,22,166,40,41,33.5404255319149,291,51.0,1,415,723,65.0,278,9,2712,1412
